class_name,count,percentage
none,1019706,29.667393727377544
StaticText,891822,25.946728183159944
link,382718,11.134822774951289
generic,232751,6.77167296989608
listitem,215660,6.274426286837816
paragraph,148986,4.334608526248812
heading,96633,2.8114468857275274
LineBreak,68317,1.9876193111281601
img,50018,1.4552269962675222
list,43648,1.2698977954553323
ListMarker,43236,1.2579110402379663
RootWebArea,27996,0.8145174734596656
gridcell,25472,0.7410840507202673
Section,17016,0.4950646281036458
menuitem,16712,0.4862200320209291
separator,10411,0.3028983217669874
article,10372,0.3017636531905862
navigation,10336,0.30071626681236974
row,10216,0.29722497888498156
LayoutTableCell,8540,0.24846332416579311
contentinfo,7976,0.2320542709070686
banner,7872,0.2290284880366655
button,7802,0.22699190341235573
time,7212,0.20982640443603043
main,6236,0.1814305959599398
LayoutTable,5975,0.17383704471787048
DescriptionListDetail,5788,0.1683964543643572
LayoutTableRow,5740,0.16699993919340192
HeaderAsNonLandmark,5264,0.15315116374809543
DescriptionListTerm,5036,0.14651771668605784
DescriptionList,4500,0.13092329727705726
figure,3684,0.10718253937081754
LabelText,3612,0.10508776661438463
Iframe,3495,0.10168376088518115
textbox,3303,0.09609770020136003
Pre,2756,0.08018324606568218
strong,2440,0.0709895211902266
FooterAsNonLandmark,1960,0.05702436948067383
complementary,1944,0.05655886442368874
columnheader,1588,0.046201376905770426
blockquote,1338,0.03892786039037836
table,1056,0.030723333761016103
Figcaption,932,0.02711566956938164
combobox,687,0.01998762338429741
group,650,0.01891114294001938
rowheader,640,0.0186202022794037
Details,500,0.014547033030784142
DisclosureTriangle,492,0.014314280502291594
insertion,468,0.013616022916813955
emphasis,380,0.011055745103395947
SvgRoot,360,0.010473863782164581
MenuListPopup,360,0.010473863782164581
searchbox,356,0.010357487517918307
search,344,0.01000835872517949
alert,328,0.009542853668194396
Abbr,324,0.009426477403948122
checkbox,276,0.008029962232992845
superscript,244,0.00709895211902266
deletion,220,0.006400694533545022
code,220,0.006400694533545022
Legend,192,0.00558606068382111
mark,180,0.005236931891082291
PluginObject,180,0.005236931891082291
tab,164,0.004771426834097198
Video,116,0.0033749116631419207
region,112,0.0032585353988956473
dialog,111,0.0032294413328340793
menu,104,0.003025782870403101
IframePresentational,100,0.002909406606156828
tabpanel,96,0.002793030341910555
radio,88,0.002560277813418009
menubar,76,0.002211149020679189
form,76,0.002211149020679189
EmbeddedObject,68,0.0019783964921866433
document,68,0.0019783964921866433
tablist,60,0.0017456439636940968
Canvas,56,0.0016292676994478237
status,48,0.0013965151709552776
spinbutton,44,0.0012801389067090044
slider,32,0.0009310101139701851
caption,28,0.0008146338497239118
option,20,0.0005818813212313656
definition,16,0.00046550505698509254
doc-backlink,16,0.00046550505698509254
doc-endnote,16,0.00046550505698509254
subscript,16,0.00046550505698509254
doc-noteref,16,0.00046550505698509254
graphics-symbol,12,0.0003491287927388194
application,12,0.0003491287927388194
timer,12,0.0003491287927388194
switch,12,0.0003491287927388194
progressbar,8,0.00023275252849254627
listbox,8,0.00023275252849254627
alertdialog,8,0.00023275252849254627
Date,8,0.00023275252849254627
tooltip,8,0.00023275252849254627
note,8,0.00023275252849254627
grid,4,0.00011637626424627314
doc-endnotes,4,0.00011637626424627314
