sample_id,avg_elements,min_elements,max_elements,density_category
1656507072588,37.0,37,37,low
1656367243412,21.0,21,21,low
1655989741425,30.0,30,30,low
1656065034741,32.0,32,32,low
1656140658736,22.0,22,22,low
1656468032527,47.0,47,47,low
1656130320834,22.0,22,22,low
1656240241930,136.0,136,136,medium
1656198892204,164.0,164,164,high
1656297294241,130.0,130,130,medium
1656335838504,181.0,181,181,high
1657269949332,62.0,62,62,medium
1655927114686,218.0,218,218,high
1656444403100,264.0,264,264,high
1657102047238,165.0,165,165,high
1656425999402,115.0,115,115,medium
1656566981703,87.0,87,87,medium
1658775419070,142.0,142,142,medium
1656362553244,147.0,147,147,medium
1656242082716,318.0,318,318,high
1656073118725,161.0,161,161,high
1656414122026,26.0,26,26,low
1655989760877,43.0,43,43,low
1656297044787,132.0,132,132,medium
1656344984952,10.0,10,10,low
1656057690329,242.0,242,242,high
1656021482534,46.0,46,46,low
1656269194424,42.0,42,42,low
1656487365432,52.0,52,52,medium
1656435847343,124.0,124,124,medium
1656110327622,126.0,126,126,medium
1656324792775,23.0,23,23,low
1656389526188,54.0,54,54,medium
1655951994680,34.0,34,34,low
1655952182056,30.0,30,30,low
1656506122763,390.0,390,390,high
1655999704908,23.0,23,23,low
1656553173455,418.0,418,418,high
1655955845409,80.0,80,80,medium
1656174568852,72.0,72,72,medium
1656323765284,38.0,38,38,low
1655941883750,52.0,52,52,medium
1657106950733,115.0,115,115,medium
1656512857408,109.0,109,109,medium
1658454020119,7.0,7,7,low
1655973039519,70.0,70,70,medium
1658334314365,283.0,283,283,high
1655973032239,53.0,53,53,medium
1655987316077,32.0,32,32,low
1657218413118,431.0,431,431,high
1655969411548,20.0,20,20,low
1655926106177,200.0,200,200,high
1656405911457,229.0,229,229,high
1656507542812,123.0,123,123,medium
1656604629678,29.0,29,29,low
1656031008955,23.0,23,23,low
1655966470277,46.0,46,46,low
1656594145000,71.0,71,71,medium
1656305471511,32.0,32,32,low
1655932970424,51.0,51,51,medium
1658399816871,201.0,201,201,high
1656594346082,45.0,45,45,low
1656029254008,199.0,199,199,high
1656334125031,83.0,83,83,medium
1656608512688,120.0,120,120,medium
1656565700375,43.0,43,43,low
1656064953127,46.0,46,46,low
1656273346148,26.0,26,26,low
1656555338081,47.0,47,47,low
1657300050628,338.0,338,338,high
1657246244300,22.0,22,22,low
1655986524356,165.0,165,165,high
1656614386576,383.75,143,615,high
1656329729794,116.0,116,116,medium
1657124971315,229.0,229,229,high
1656202962563,4.0,4,4,low
1655956612384,106.0,106,106,medium
1655985899291,199.0,199,199,high
1656442294633,215.0,215,215,high
1656031874232,53.0,53,53,medium
1656009520844,80.0,80,80,medium
1656052019842,45.0,45,45,low
1656576556347,340.0,340,340,high
1656599469395,6.0,6,6,low
1656076009913,277.0,277,277,high
1656343620800,52.0,52,52,medium
1655900377936,12.0,12,12,low
1656618551177,171.0,171,171,high
1655923980822,52.0,52,52,medium
1655966977480,40.0,40,40,low
1656366975942,128.0,128,128,medium
1656284310040,15.0,15,15,low
1656096250822,23.0,23,23,low
1656104402429,335.0,335,335,high
1658324790231,401.0,401,401,high
1655908669530,70.0,70,70,medium
1655913788175,347.0,347,347,high
1656363817752,35.0,35,35,low
1655999683546,6.0,6,6,low
1656004732931,46.0,46,46,low
1656339742797,220.0,220,220,high
1655992147630,269.0,269,269,high
1656056732960,106.0,106,106,medium
