class_id,aria_role,count,percentage,description
0,none,1019706,29.667393727377544,UI element
1,StaticText,891822,25.946728183159944,Static text nodes
2,link,382718,11.134822774951289,Hyperlink or anchor element
3,generic,232751,6.77167296989608,"Generic container element (div, span)"
4,listitem,215660,6.274426286837816,List item element
5,paragraph,148986,4.334608526248812,Paragraph text element
6,heading,96633,2.8114468857275274,Heading element (h1-h6)
7,LineBreak,68317,1.9876193111281601,UI element
8,img,50018,1.4552269962675222,Image element
9,list,43648,1.2698977954553323,"List container (ul, ol)"
10,ListMarker,43236,1.2579110402379663,UI element
11,RootWebArea,27996,0.8145174734596656,UI element
12,gridcell,25472,0.7410840507202673,UI element
13,Section,17016,0.4950646281036458,UI element
14,menuitem,16712,0.4862200320209291,UI element
15,button,7802,0.22699190341235573,Interactive button element
16,textbox,3303,0.09609770020136003,UI element
17,combobox,687,0.01998762338429741,UI element
18,searchbox,356,0.010357487517918307,UI element
19,search,344,0.01000835872517949,UI element
